source,target,tgt_lng
1个霸符，2个霸符,"Ein Buff, zwei Buff",de
2 Vàng Là Nhất,Zu viel Wert,de
2体のタンク,Zu zäh,de
2만한 가치,Zu viel Wert,de
2인조,Duo-Warteschlange,de
3の軍団,Die Legion der Drei,de
3단계 군단,Die Legion der Drei,de
4가 함께하길,Mögen die Vier mit dir sein,de
4후지원,Vier-Gold-Verstärkung,de
8级D干的传说,Epische Ladung,de
A Hajnal égisze,Ägide der Morgendämmerung,de
A Magic Roll,Ein magischer Wurf,de
A Masszív mecha,Der mächtige Mecha,de
A Nagy Bumm,Der Urknall,de
A Que Custo,Zu welchem Preis,de
A Remontar,Siegeszug,de
A Torre,Der Turm,de
A União Faz a Força,Wir halten zusammen,de
A buzogány akarata,Der Wille des Hammers,de
A felemelkedés talizmánja,Amulett des Aufstiegs,de
A feltámadás áldása,Segen der Wiederbelebung,de
A frontvonal alapjai,Frontlinien-Fundament,de
A gondviselő barátja,Verbündeter des Beschützers,de
A gyűjtögető adománya,Gefälligkeit des Schrotthändlers,de
A hatalom kelyhe,Kelch der Macht,de
A járatlan út,Selbstständig machen,de
A kraken haragja,Zorn des Kraken,de
A káosz hívása,Ruf des Chaos,de
A legapróbb titán,Winzigster Titan,de
A megváltás szelleme,Geist der Erlösung,de
A mozdulatlanság leple,Tuch der Stille,de
A méret a lényeg,Größe ist alles,de
A nagy pofon,Kahunahuna,de
A négyek ereje,Mögen die Vier mit dir sein,de
A por el bote,Preiskämpfer,de
A por la victoria,Siegeszug,de
A portyázó karma,Klaue des Meuchlers,de
A prueba de choques,Crash-Test-Dummies,de
A quale prezzo,Zu welchem Preis,de
A qué precio,Zu welchem Preis,de
A rettenthetetlen,Der Unbeugsame,de
A taktikus koronája,Krone des Taktikers,de
A titán elszántsága,Entschlossenheit des Titanen,de
A torony,Der Turm,de
A végjáték szakértője,Endgame-Experte,de
A vízköpő sziklavértje,Steinpanzer des Wasserspeiers,de
AFK,Abwesend,de
Aatrox,Aatrox,de
Abbonamento di lusso,Luxus-Abonnement,de
Abbraccio di gruppo,Gruppenumarmung,de
Abonament,Abo-Service,de
Abonament de lux,Luxus-Abonnement,de
Abondance de baguettes,Stabüberfluss,de
Abondance de ceintures,Gürtel im Überfluss,de
Abondance de glaives,Schwertüberfluss,de
Abonelik Hizmeti,Abo-Service,de
Abonnement,Abo-Service,de
Abonnement premium,Luxus-Abonnement,de
Abra o Caminho,Bahne dir den Weg,de
Abrazo Grupal,Gruppenumarmung,de
Abrazo grupal,Gruppenumarmung,de
Abraço Coletivo,Gruppenumarmung,de
Absurdalnie Wielka Różdżka,Übergroßer Stab,de
Accelerator mecanic,Uhrwerk-Beschleuniger,de
Acceleratore meccanico,Uhrwerk-Beschleuniger,de
Accetta infernale,Kriegsbeil des Höllenfeuers,de
Acciaio brillante,Vergoldeter Stahl,de
Accélérateur mécanique,Uhrwerk-Beschleuniger,de
Acelerador Mecanizado,Uhrwerk-Beschleuniger,de
Acelerador Mecánico,Uhrwerk-Beschleuniger,de
Acelerador de relojería,Uhrwerk-Beschleuniger,de
Acero Dorado,Vergoldeter Stahl,de
Acero dorado,Vergoldeter Stahl,de
Achat 3 étoiles,Baue einen Begleiter,de
Acier doré,Vergoldeter Stahl,de
Actualiza sin parar,Aktualisierungstaumel,de
Acumular,Auf lange Sicht,de
Acélszív,Herz aus Stahl,de
Adagas Oscilantes,Flimmerklingen,de
Adaletin Eli,Hand der Gerechtigkeit,de
Adaletin Yumruğu,Vergeltung,de
Adaptive Helm,Adaptiver Helm,de
Adaptív sisak,Adaptiver Helm,de
Addestramento da Guardia del corpo,Leibwache-Training,de
Adiestramiento de guardaespaldas,Leibwache-Training,de
Advanced Loan,Erweiterter Kredit,de
Aegis of Dawn,Ägide der Morgendämmerung,de
Aegis of Dusk,Ägide der Abenddämmerung,de
Agujero negro en miniatura,Kleines schwarzes Loch,de
Ahri aurája,Ahris Aura,de
Ahri áldása,Ahris Segen,de
Ahri'nin Haresi,Ahris Aura,de
Ahri'nin Lütfu,Ahris Segen,de
Ahri's Aura,Ahris Aura,de
Ahri's Boon,Ahris Segen,de
Ahřin dar,Ahris Segen,de
Ahřina aura,Ahris Aura,de
Ajándékcsomag,Hilfspaket,de
Akali,Akali,de
Akan Gözyaşları,Fließende Tränen,de
Akcelerator Nakręcanego,Uhrwerk-Beschleuniger,de
Aklın Sonu,Ende der Weisheit,de
Akıllı Harcama,Weise Ausgaben,de
Al Filo de la Cordura,Ende der Weisheit,de
Alacakaranlık Kalkanı,Ägide der Abenddämmerung,de
Alakzatba,Aufstellung,de
