source,target,tgt_lng
Aatrox,Άατροξ,el
Ahri,Άρι,el
Ambessa,Αμπέσα,el
Anivia,Ανίβια,el
Annie,Άνι,el
Aphelios,Αφέλιος,el
Ashe,Ας,el
Aurelion Sol,Ωρέλιον Σολ,el
Azir,Αζίρ,el
Bard,Βάρδος,el
Baron Nashor,Βαρόνος Νάσορ,el
Bel'Veth,Μπελ'Βεθ,el
Blitzcrank,Μπλίτζκρανκ,el
Braum,Μπράουμ,el
Briar,Μπράιαρ,el
Brock,Μπροκ,el
Caitlyn,Κέιτλιν,el
Cho'Gath,Τσο'Γκαθ,el
Darius,Ντάριους,el
Diana,Ντιάνα,el
Dr. Mundo,Δρ.Μούντο,el
Draven,Ντρέιβεν,el
Ekko,Έκκο,el
Elder Dragon,Γηραιός Δράκος,el
Fiddlesticks,Φίντλστιξ,el
Fizz,Φιζ,el
Galio,Γκάλιο,el
Gangplank,Γκάνγκπλανκ,el
Garen,Γκάρεν,el
Golem,Γκόλεμ,el
Graves,Γκρέιβς,el
Gwen,Γκουέν,el
Illaoi,Ιλλαόη,el
Jarvan IV,Τζάρβαν ο Δ',el
Jhin,Τζιν,el
Jinx,Τζινξ,el
Kai'Sa,Κάι'Σα,el
Kalista,Καλίστα,el
Kennen,Κένεν,el
Kindred,Κίντρεντ,el
Kobuko & Yuumi,Κομπούκο + Γιούμι,el
Kog'Maw,Κογκ'Μο,el
LeBlanc,ΛεΜπλάν,el
Leona,Λεόνα,el
Lissandra,Λισάντρα,el
Loris,Λόρις,el
Lucian & Senna,Λούσιαν + Σέννα,el
Lulu,Λούλου,el
Lux,Λουξ,el
Malzahar,Μάλζαχαρ,el
Mel,Μελ,el
Milio,Μίλιο,el
Miss Fortune,Μις Φόρτσουν,el
Nasus,Νάσους,el
Nautilus,Νότιλους,el
Neeko,Νίκκο,el
Nidalee,Νίνταλι,el
Orianna,Οριάνα,el
Ornn,Ορν,el
Piltover Invention,Εφεύρεση του Πιλτόβερ,el
Poppy,Πόπι,el
Qiyana,Κιάνα,el
Rek'Sai,Ρεκ'Σάι,el
Renekton,Ρένεκτον,el
Rift Herald,Κήρυκας του Φαραγγιού,el
Rift Scuttler,Γαριδρομέας,el
Rumble,Ραμπλ,el
Ryze,Ράιζ,el
Sejuani,Σεζουάνι,el
Seraphine,Σεραφίν,el
Sett,Σεττ,el
Shen,Σεν,el
Shyvana,Σιβάνα,el
Singed,Σιντζντ,el
Sion,Σάιον,el
Skarner,Σκάρνερ,el
Sona,Σόνα,el
Swain,Σουέιν,el
Sylas,Σάιλας,el
T-Hex,Τυραννόσαυρος Χεξ,el
Tahm Kench,Ταμ Κεντς,el
Taric,Τάρικ,el
Teemo,Τίμο,el
Thresh,Θρες,el
Training Dummy,Κούκλα Εκπαίδευσης,el
Tristana,Τριστάνα,el
