source,target,tgt_lng
Aatrox,Aatrox,es-ES
Ahri,Ahri,es-ES
Ambessa,Ambessa,es-ES
Anivia,Anivia,es-ES
Annie,Annie,es-ES
Aphelios,Aphelios,es-ES
Ashe,Ashe,es-ES
Aurelion Sol,Aurelion Sol,es-ES
Azir,Azir,es-ES
Bard,Bardo,es-ES
Baron Nashor,Barón Nashor,es-ES
Bel'Veth,Bel'Veth,es-ES
Blitzcrank,Blitzcrank,es-ES
Braum,Braum,es-ES
Briar,Briar,es-ES
Brock,Brock,es-ES
Caitlyn,Caitlyn,es-ES
Cho'Gath,Cho'Gath,es-ES
Darius,Darius,es-ES
Diana,Diana,es-ES
Dr. Mundo,Dr. Mundo,es-ES
Draven,Draven,es-ES
Ekko,Ekko,es-ES
Elder Dragon,Dragón anciano,es-ES
Fiddlesticks,Fiddlesticks,es-ES
Fizz,Fizz,es-ES
Galio,Galio,es-ES
Gangplank,Gangplank,es-ES
Garen,Garen,es-ES
Golem,Gólem,es-ES
Graves,Graves,es-ES
Gwen,Gwen,es-ES
Illaoi,Illaoi,es-ES
Jarvan IV,Jarvan IV,es-ES
Jhin,Jhin,es-ES
Jinx,Jinx,es-ES
Kai'Sa,Kai'Sa,es-ES
Kalista,Kalista,es-ES
Kennen,Kennen,es-ES
Kindred,Kindred,es-ES
Kobuko & Yuumi,Kobuko y Yuumi,es-ES
Kog'Maw,Kog'Maw,es-ES
LeBlanc,LeBlanc,es-ES
Leona,Leona,es-ES
Lissandra,Lissandra,es-ES
Loris,Loris,es-ES
Lucian & Senna,Lucian y Senna,es-ES
Lulu,Lulu,es-ES
Lux,Lux,es-ES
Malzahar,Malzahar,es-ES
Mel,Mel,es-ES
Milio,Milio,es-ES
Miss Fortune,Miss Fortune,es-ES
Nasus,Nasus,es-ES
Nautilus,Nautilus,es-ES
Neeko,Neeko,es-ES
Nidalee,Nidalee,es-ES
Orianna,Orianna,es-ES
Ornn,Ornn,es-ES
Piltover Invention,Invento de Piltover,es-ES
Poppy,Poppy,es-ES
Qiyana,Qiyana,es-ES
Rek'Sai,Rek'Sai,es-ES
Renekton,Renekton,es-ES
Rift Herald,Heraldo de la Grieta,es-ES
Rift Scuttler,Escurridizo,es-ES
Rumble,Rumble,es-ES
Ryze,Ryze,es-ES
Sejuani,Sejuani,es-ES
Seraphine,Seraphine,es-ES
Sett,Sett,es-ES
Shen,Shen,es-ES
Shyvana,Shyvana,es-ES
Singed,Singed,es-ES
Sion,Sion,es-ES
Skarner,Skarner,es-ES
Sona,Sona,es-ES
Swain,Swain,es-ES
Sylas,Sylas,es-ES
T-Hex,T-Hex,es-ES
Tahm Kench,Tahm Kench,es-ES
Taric,Taric,es-ES
Teemo,Teemo,es-ES
Thresh,Thresh,es-ES
Training Dummy,Objetivo de práctica,es-ES
Tristana,Tristana,es-ES
Tryndamere,Tryndamere,es-ES
Twisted Fate,Twisted Fate,es-ES
Vayne,Vayne,es-ES
Veigar,Veigar,es-ES
Vi,Vi,es-ES
Viego,Viego,es-ES
Volibear,Volibear,es-ES
Warwick,Warwick,es-ES
Wukong,Wukong,es-ES
Xerath,Xerath,es-ES
Xin Zhao,Xin Zhao,es-ES
Yasuo,Yasuo,es-ES
Yone,Yone,es-ES
Yorick,Yorick,es-ES
Yunara,Yunara,es-ES
Zaahen,Zaahen,es-ES
Ziggs,Ziggs,es-ES
Zilean,Zilean,es-ES
Zoe,Zoe,es-ES
Arcanist,Arcanólogo,es-ES
Ascendant,Ascendente,es-ES
Assimilator,Asimilación,es-ES
Bilgewater,Aguas Estancadas,es-ES
Blacksmith,Herrero,es-ES
Bruiser,Luchador,es-ES
Caretaker,Protector,es-ES
Chainbreaker,Rompedor de cadenas,es-ES
Chosen Wolves,Lobos elegidos,es-ES
Chronokeeper,Guardián del tiempo,es-ES
Dark Child,Hija de la oscuridad,es-ES
Darkin,Oscuro,es-ES
Defender,Defensor,es-ES
Demacia,Demacia,es-ES
Disruptor,Disruptor,es-ES
Dragonborn,Hija del dragón,es-ES
Dragonguards,Guardias dracónicas,es-ES
Emperor,Emperador,es-ES
Eternal,Eterno,es-ES
Freljord,Freljord,es-ES
Glutton,Glotón,es-ES
Gunslinger,Pistolero,es-ES
Harvester,Cosechador,es-ES
Heroic,Heroico,es-ES
HexMech,Mecha hextech,es-ES
Huntress,Cazadora,es-ES
Immortal,Inmortal,es-ES
Invoker,Conjurador,es-ES
Ionia,Jonia,es-ES
Ixtal,Ixtal,es-ES
Juggernaut,Coloso,es-ES
Longshot,Tiro largo,es-ES
Noxus,Noxus,es-ES
Piltover,Piltover,es-ES
Poison Pals,Colegas tóxicos,es-ES
Quickstriker,Impactoveloz,es-ES
Riftscourge,Azote de la Grieta,es-ES
Rune Mage,Hechicero rúnico,es-ES
Sentinels of Light,Centinelas de la Luz,es-ES
Shadow Isles,Islas de la Sombra,es-ES
Shurima,Shurima,es-ES
Slayer,Verdugo,es-ES
Soulbound,Ánima,es-ES
Star Forger,Forjador de estrellas,es-ES
Targon,Targon,es-ES
The Boss,El Jefe,es-ES
Timewinders,Engranajes temporales,es-ES
Vanquisher,Conquistador,es-ES
Void,Vacío,es-ES
Warden,Guardián,es-ES
World Ender,Aniquilador de mundos,es-ES
Yordle,Yordle,es-ES
Zaun,Zaun,es-ES
3 Threes,Tres de tres,es-ES
A Magic Roll,Pergamino mágico,es-ES
