source,target,tgt_lng
Aatrox,Aatrox,fr
Ahri,Ahri,fr
Ambessa,Ambessa,fr
Anivia,Anivia,fr
Annie,Annie,fr
Aphelios,Aphelios,fr
Ashe,Ashe,fr
Aurelion Sol,Aurelion Sol,fr
Azir,Azir,fr
Bard,Bard,fr
Baron Nashor,Baron Nashor,fr
Bel'Veth,Bel'Veth,fr
Blitzcrank,Blitzcrank,fr
Braum,Braum,fr
Briar,Briar,fr
Brock,Brock,fr
Caitlyn,Caitlyn,fr
Cho'Gath,Cho'Gath,fr
Darius,Darius,fr
Diana,Diana,fr
Dr. Mundo,Dr. Mundo,fr
Draven,Draven,fr
Ekko,Ekko,fr
Elder Dragon,Dragon ancestral,fr
Fiddlesticks,Fiddlesticks,fr
Fizz,Fizz,fr
Galio,Galio,fr
Gangplank,Gangplank,fr
Garen,Garen,fr
Golem,Golem,fr
Graves,Graves,fr
Gwen,Gwen,fr
Illaoi,Illaoi,fr
Jarvan IV,Jarvan IV,fr
Jhin,Jhin,fr
Jinx,Jinx,fr
Kai'Sa,Kai'Sa,fr
Kalista,Kalista,fr
Kennen,Kennen,fr
Kindred,Kindred,fr
Kobuko & Yuumi,Kobuko et Yuumi,fr
Kog'Maw,Kog'Maw,fr
LeBlanc,LeBlanc,fr
Leona,Leona,fr
Lissandra,Lissandra,fr
Loris,Loris,fr
Lucian & Senna,Lucian et Senna,fr
Lulu,Lulu,fr
Lux,Lux,fr
Malzahar,Malzahar,fr
Mel,Mel,fr
Milio,Milio,fr
Miss Fortune,Miss Fortune,fr
Nasus,Nasus,fr
Nautilus,Nautilus,fr
Neeko,Neeko,fr
Nidalee,Nidalee,fr
Orianna,Orianna,fr
Ornn,Ornn,fr
Piltover Invention,Invention de Piltover,fr
Poppy,Poppy,fr
Qiyana,Qiyana,fr
Rek'Sai,Rek'Sai,fr
Renekton,Renekton,fr
Rift Herald,Héraut de la Faille,fr
Rift Scuttler,Carapateur,fr
Rumble,Rumble,fr
Ryze,Ryze,fr
Sejuani,Sejuani,fr
Seraphine,Séraphine,fr
Sett,Sett,fr
Shen,Shen,fr
Shyvana,Shyvana,fr
Singed,Singed,fr
Sion,Sion,fr
Skarner,Skarner,fr
Sona,Sona,fr
Swain,Swain,fr
Sylas,Sylas,fr
T-Hex,T-Hex,fr
Tahm Kench,Tahm Kench,fr
Taric,Taric,fr
Teemo,Teemo,fr
Thresh,Thresh,fr
Training Dummy,Mannequin d'entraînement,fr
Tristana,Tristana,fr
Tryndamere,Tryndamere,fr
Twisted Fate,Twisted Fate,fr
Vayne,Vayne,fr
Veigar,Veigar,fr
Vi,Vi,fr
Viego,Viego,fr
Volibear,Volibear,fr
Warwick,Warwick,fr
Wukong,Wukong,fr
Xerath,Xerath,fr
Xin Zhao,Xin Zhao,fr
Yasuo,Yasuo,fr
Yone,Yone,fr
Yorick,Yorick,fr
Yunara,Yunara,fr
Zaahen,Zaahen,fr
Ziggs,Ziggs,fr
Zilean,Zilean,fr
Zoe,Zoé,fr
Arcanist,Arcaniste,fr
Ascendant,Ascendant,fr
Assimilator,Assimilatrice,fr
Bilgewater,Bilgewater,fr
Blacksmith,Forgeron,fr
Bruiser,Bagarreur,fr
Caretaker,Ange gardien,fr
Chainbreaker,Libérateur,fr
Chosen Wolves,Chasse éternelle,fr
Chronokeeper,Gardien du temps,fr
Dark Child,Enfant des ténèbres,fr
Darkin,Darkin,fr
Defender,Défenseur,fr
Demacia,Demacia,fr
Disruptor,Perturbateur,fr
Dragonborn,Enfant draconique,fr
Dragonguards,Dragons gardiens,fr
Emperor,Empereur,fr
Eternal,Éternel,fr
Freljord,Freljord,fr
Glutton,Glouton,fr
Gunslinger,Pistolero,fr
Harvester,Moissonneur,fr
Heroic,Héroïque,fr
HexMech,Mecha-Hex,fr
Huntress,Chasseresse,fr
