source,target,tgt_lng
1个霸符，2个霸符,"Egy erősítés, két erősítés",hu
2 Vàng Là Nhất,Dupla érték,hu
2体のタンク,Duplán szívós,hu
2만한 가치,Dupla érték,hu
2인조,Páros várólista,hu
3の軍団,Hármak légiója,hu
3단계 군단,Hármak légiója,hu
4가 함께하길,A négyek ereje,hu
4후지원,Négységben az erő,hu
8级D干的传说,Hatalmas sorsolás,hu
A Magic Roll,Varázsdobás,hu
A Que Custo,De milyen áron?,hu
A Remontar,Biztos győzelem,hu
A Torre,A torony,hu
A União Faz a Força,Összetartunk,hu
A por el bote,Hivatásos bokszoló,hu
A por la victoria,Biztos győzelem,hu
A prueba de choques,Törésteszt bábuk,hu
A quale prezzo,De milyen áron?,hu
A qué precio,De milyen áron?,hu
AFK,Inaktivitás,hu
Aatrox,Aatrox,hu
Abbonamento di lusso,Luxus előfizetés,hu
Abbraccio di gruppo,Nagy ölelés I.,hu
Abendschleier,Egyenlepel,hu
Abo-Service,Előfizetési szolgáltatás,hu
Abonament,Előfizetési szolgáltatás,hu
Abonament de lux,Luxus előfizetés,hu
Abondance de baguettes,Pálcaszállítmány,hu
Abondance de ceintures,Övszállítmány,hu
Abondance de glaives,Kardszállítmány,hu
Abonelik Hizmeti,Előfizetési szolgáltatás,hu
Abonnement,Előfizetési szolgáltatás,hu
Abonnement premium,Luxus előfizetés,hu
Abra o Caminho,Vágj utat,hu
Abrazo Grupal,Nagy ölelés I.,hu
Abrazo grupal,Nagy ölelés I.,hu
Abraço Coletivo,Nagy ölelés I.,hu
Absurdalnie Wielka Różdżka,Feleslegesen nagy pálca,hu
Abwesend,Inaktivitás,hu
Accelerator mecanic,Mechanikus gyorsító,hu
Acceleratore meccanico,Mechanikus gyorsító,hu
Accetta infernale,Pokoli csatabárd,hu
Acciaio brillante,Díszes acél,hu
Accélérateur mécanique,Mechanikus gyorsító,hu
Acelerador Mecanizado,Mechanikus gyorsító,hu
Acelerador Mecánico,Mechanikus gyorsító,hu
Acelerador de relojería,Mechanikus gyorsító,hu
Acero Dorado,Díszes acél,hu
Acero dorado,Díszes acél,hu
Achat 3 étoiles,Építhető kísérő,hu
Acier doré,Díszes acél,hu
Actualiza sin parar,Újrasorsolás napestig,hu
Acumular,Hosszú távú befektetés,hu
Adagas Oscilantes,Villanópengék,hu
Adaletin Eli,Az igazság ökle,hu
Adaletin Yumruğu,Megtorlás,hu
Adaptive Helm,Adaptív sisak,hu
Adaptiver Helm,Adaptív sisak,hu
Addestramento da Guardia del corpo,Testőrképzés,hu
Adiestramiento de guardaespaldas,Testőrképzés,hu
Advanced Loan,Előleg,hu
Aegis of Dawn,A Hajnal égisze,hu
Aegis of Dusk,Az Alkony égisze,hu
Agujero negro en miniatura,Mini fekete lyuk,hu
Ahri'nin Haresi,Ahri aurája,hu
Ahri'nin Lütfu,Ahri áldása,hu
Ahri's Aura,Ahri aurája,hu
Ahri's Boon,Ahri áldása,hu
Ahris Aura,Ahri aurája,hu
Ahris Segen,Ahri áldása,hu
Ahřin dar,Ahri áldása,hu
Ahřina aura,Ahri aurája,hu
Akali,Akali,hu
Akan Gözyaşları,Záporozó könnyek,hu
Akcelerator Nakręcanego,Mechanikus gyorsító,hu
Aklın Sonu,Utolsó esély,hu
Aktualisierungstaumel,Újrasorsolás napestig,hu
Akıllı Harcama,Okos költekezés,hu
Al Filo de la Cordura,Utolsó esély,hu
Alacakaranlık Kalkanı,Az Alkony égisze,hu
Alba di Silvermere,Ezüsttóvári hajnal,hu
Alcance as Estrelas,Törj a csillagok felé,hu
Alege caracteristica,Válassz adottságot,hu
Alevleri Körükle,Tápláld a tüzet,hu
Alfanje Espectral,Túlvilági szablya,hu
Aliado do Protetor,A gondviselő barátja,hu
Alianza del Guardián,A gondviselő barátja,hu
Alianza del protector,A gondviselő barátja,hu
Aliatul îngrijitorului,A gondviselő barátja,hu
Alimenta las Llamas,Tápláld a tüzet,hu
Alimentad las llamas,Tápláld a tüzet,hu
Alimentare le fiamme,Tápláld a tüzet,hu
Alimente as Chamas,Tápláld a tüzet,hu
Alineación,Alakzatba,hu
Aliniere,Alakzatba,hu
Alleato del custode,A gondviselő barátja,hu
Allumer le feu,Tápláld a tüzet,hu
Alma da Festa,Partiállat,hu
Alta Voltagem,Magasfeszültség,hu
Alta tensione,Magasfeszültség,hu
Alto Voltaje,Magasfeszültség,hu
Alto voltaje,Magasfeszültség,hu
Altın Ejder,Az aranysárkány,hu
Altın Riski,Aranyjátszma,hu
Altın Yumurta,Az aranytojás,hu
Alvorada de Pratânia,Ezüsttóvári hajnal,hu
Aléatoire jacta est,A járatlan út,hu
Aléatoirement vôtre,Páros várólista,hu
Alışveriş Çılgınlığı,Bevásárló körút,hu
Amanecer Plateado,Ezüsttóvári hajnal,hu
Amanecer de Meraplata,Ezüsttóvári hajnal,hu
Ami sur mesure,Kovácsolj barátot,hu
Amico dei Mippi,Énke,hu
Amico fai-da-te,Jóbarát rendelésre,hu
Amigos a medida,Jóbarát rendelésre,hu
Amiguinhos,Apró cimborák,hu
Amiguitos,Apró cimborák,hu
Amulet Vyzdvižení,A felemelkedés talizmánja,hu
Amulett der eisernen Solari,Az iron solarik medálja,hu
Amulett des Aufstiegs,A felemelkedés talizmánja,hu
An Exalted Adventure,Magasztos kaland,hu
Ana Karaktere Bir Şey Olmaz,Narratív védelem,hu
Andare per le lunghe,Hosszú távú befektetés,hu
Angajament solid,Elköteleződés,hu
Ani Büyüme,Robbanásszerű fejlődés,hu
Anima,Lélek,hu
Anima Amblemi,Lélek embléma,hu
Anima Commander,Lélekparancsnok,hu
Anima Emblem,Lélek embléma,hu
Anima Komutanı,Lélekparancsnok,hu
Anima-Emblem,Lélek embléma,hu
Anima-Kommandant,Lélekparancsnok,hu
Animale da festa,Partiállat,hu
Animalia,Lélek,hu
Antrenamentul gărzii de corp,Testőrképzés,hu
Anı Yaşa,Becsapódás,hu
Apariencia Espiritual,Szellemarc,hu
Apocaliptic,Végzethozó,hu
Aposta em Ouro,Aranyjátszma,hu
Apoteotická kovárna,Az istenek kohója,hu
Apotheotic Forge,Az istenek kohója,hu
Appel du chaos,A káosz hívása,hu
Aprendizados Iniciais,Korai tanulságok,hu
Aprendizaje inicial,Korai tanulságok,hu
Aprire un passaggio,Vágj utat,hu
Apuesta Dorada,Aranyjátszma,hu
Apuesta dorada,Aranyjátszma,hu
Apunta a las Estrellas,Törj a csillagok felé,hu
Apunta a las estrellas,Törj a csillagok felé,hu
Apărător,Élharcos,hu
Aradığını Bul,Mindent egyre,hu
Arakla,Lenyúlás,hu
Araldo di Zeke,Zeke hírnöke,hu
Arauto Desolador de Zeke,Zeke komor hírnöke,hu
Arauto de Zeke,Zeke hírnöke,hu
Arbiter,Döntőbíró,hu
Arbiter Emblem,Döntőbíró embléma,hu
Arbitro,Döntőbíró,hu
Arbitrzy,Döntőbíró,hu
