source,target,tgt_lng
1个霸符，2个霸符,バフが1つ、バフが2つ,ja
3 Threes,3×3,ja
8级D干的传说,エピックなロールダウン,ja
90 Caliber Nets,L-90 カリバーネット,ja
90口径绳网,L-90 カリバーネット,ja
A Magic Roll,魔法のダイス,ja
Aatrox,エイトロックス,ja
Acceleration Gate,アクセルゲート,ja
Adaptive Helm,アダプティブ ヘルム,ja
Advanced Loan,前借り,ja
Aegis of Dawn,夜明けの加護,ja
Aegis of Dusk,夕闇の加護,ja
Ahri,アーリ,ja
Air Axiom,風のアクシオム,ja
Ambessa,アンベッサ,ja
Anivia,アニビア,ja
Annie,アニー,ja
Aphelios,アフェリオス,ja
Arcane Viktor-y,Arcane ビクタリー,ja
Arcanist,アルカニスト,ja
Arcanist Emblem,アルカニストの紋章,ja
Archangel's Staff,アークエンジェル スタッフ,ja
Armor Nullifier,アーマー ナリファイア,ja
Artillery Barrage,大砲の雨,ja
Ascendant,超越者,ja
Ascension,アセンション,ja
Ashe,アッシュ,ja
Assimilator,アシミレーター,ja
Aurelion Sol,オレリオン・ソル,ja
Azir,アジール,ja
B.F. Sword,B.F.ソード,ja
Band of Thieves,盗賊団,ja
Bard,バード,ja
Barknuckles,バークナックル,ja
Baron Nashor,バロンナッシャー,ja
Bel'Veth,ベル＝ヴェス,ja
Belt Overflow,ベルト オーバーフロー,ja
Best Friends,ベストフレンド,ja
Big Friend,ビッグフレンド,ja
Big Grab Bag,大きな福袋,ja
Bilgewater,ビルジウォーター,ja
Bilgewater Emblem,ビルジウォーターの紋章,ja
Bilgewater Lesser Champion Duplicator,ビルジウォーターの小型チャンピオン複製器,ja
Binary Airdrop,バイナリー空中投下,ja
Birthday Present,バースデープレゼント,ja
Birthday Reunion,バースデー リユニオン,ja
Black Market Restock,ブラックマーケットの再入荷,ja
Blackmarket Explosives,ブラックマーケットの爆発物,ja
Blacksmith,ブラックスミス,ja
Blast Shield,ケンカの作法,ja
Blighting Jewel,枯死の宝石,ja
Blitzcrank,ブリッツクランク,ja
Blood Offering,血の供物,ja
Bloodthirster,ブラッドサースター,ja
Blue Buff,ブルーバフ,ja
Bodyguard Training,ボディーガードの訓練,ja
Boxing Lessons,ボクシングのレッスン,ja
Bramble Vest,ブランブル ベスト,ja
Branching Out,構成拡大,ja
Braum,ブラウム,ja
Briar,ブライアー,ja
Brigand's Dice,略奪者のダイス,ja
Bringer of Ruin,災禍の使者,ja
Brock,ブロック,ja
Bronze For Life,生涯ブロンズ,ja
Bruiser,ブルーザー,ja
Bruiser Emblem,ブルーザーの紋章,ja
Buried Treasures,埋もれた宝物,ja
Caitlyn,ケイトリン,ja
Cappa Juice,帽子ジュース,ja
Captain's Brew,キャプテンの醸造酒,ja
Captain's Hat,キャプテンの帽子,ja
Care Package,仕送り,ja
Caretaker,ケアテイカー,ja
Caretaker's Ally,庇護者のお供,ja
Celestial Blessing,天の祝福,ja
Chain Vest,チェイン ベスト,ja
Chainbreaker,チェインブレイカー,ja
Chalice of Power,力の聖杯,ja
Chaotic Evolution,混沌の進化,ja
Cho'Gath,チョ＝ガス,ja
Chosen Wolves,選ばれし狼,ja
Chronokeeper,クロノキーパー,ja
Commerce Core,コマース コア,ja
Component Buffet,素材ビュッフェ,ja
Construct a Companion,コンパニオン作成,ja
Continuum Cogs,時の歯車,ja
Cooking Pot,料理鍋,ja
Coronation,戴冠式,ja
Corrosion,腐食,ja
Corrupt Vampiric Scepter,穢れたヴァンパイア セプター,ja
Cosmic Calling,宇宙の呼び声,ja
Crafted Crafting,巧みなクラフト,ja
Crash Test Dummies,衝突試験用ダミー,ja
Crown's Will,クラウンの決意,ja
Crownguard,クラウンガード,ja
Cry Me A River,好きなだけ泣くがいい,ja
