source,target,tgt_lng
1个霸符，2个霸符,붉고 푸른 효과,ko
2 Vàng Là Nhất,2만한 가치,ko
2体のタンク,쌍두마차,ko
3の軍団,3단계 군단,ko
8级D干的传说,서사적 새로고침,ko
A Hajnal égisze,새벽의 방패,ko
A Magic Roll,마법 주사위,ko
A Masszív mecha,거대 메크 로봇,ko
A Nagy Bumm,빅뱅,ko
A Que Custo,응당한 대가,ko
A Remontar,성취,ko
A Torre,탑,ko
A União Faz a Força,하나로 뭉치는 거지,ko
A buzogány akarata,철퇴의 의지,ko
A felemelkedés talizmánja,승천의 부적,ko
A feltámadás áldása,부활의 은총,ko
A frontvonal alapjai,전방의 토대,ko
A gondviselő barátja,수호자의 친구,ko
A gyűjtögető adománya,고철 수집가의 은총,ko
A hatalom kelyhe,힘의 성배,ko
A járatlan út,가지 뻗기,ko
A kraken haragja,크라켄의 분노,ko
A káosz hívása,혼돈의 부름,ko
A legapróbb titán,꼬꼬마 거인,ko
A megváltás szelleme,구원의 영혼,ko
A mozdulatlanság leple,침묵의 장막,ko
A méret a lényeg,크기의 중요성,ko
A nagy pofon,에너지 파동,ko
A négyek ereje,4가 함께하길,ko
A por el bote,파이트 머니,ko
A por la victoria,성취,ko
A portyázó karma,자객의 발톱,ko
A prueba de choques,충돌 시험용 봇,ko
A quale prezzo,응당한 대가,ko
A qué precio,응당한 대가,ko
A rettenthetetlen,불굴,ko
A taktikus koronája,전략가의 왕관,ko
A titán elszántsága,거인의 결의,ko
A torony,탑,ko
A végjáték szakértője,후반 전문가,ko
A vízköpő sziklavértje,가고일 돌갑옷,ko
AFK,자리 비움,ko
Aatrox,아트록스,ko
Abbonamento di lusso,호화로운 정기 구독,ko
Abbraccio di gruppo,단체 포옹,ko
Abendschleier,저녁갑주,ko
Abo-Service,구독 서비스,ko
Abonament,구독 서비스,ko
Abonament de lux,호화로운 정기 구독,ko
Abondance de baguettes,넘치는 지팡이,ko
Abondance de ceintures,넘치는 허리띠,ko
Abondance de glaives,넘치는 대검,ko
Abonelik Hizmeti,구독 서비스,ko
Abonnement,구독 서비스,ko
Abonnement premium,호화로운 정기 구독,ko
Abra o Caminho,길을 내라,ko
Abrazo Grupal,단체 포옹,ko
Abrazo grupal,단체 포옹,ko
Abraço Coletivo,단체 포옹,ko
Absurdalnie Wielka Różdżka,쓸데없이 큰 지팡이,ko
Abwesend,자리 비움,ko
Accelerator mecanic,시계태엽 윤활유,ko
Acceleratore meccanico,시계태엽 윤활유,ko
Accetta infernale,지옥불 손도끼,ko
Acciaio brillante,도금 강철,ko
Accélérateur mécanique,시계태엽 윤활유,ko
Acelerador Mecanizado,시계태엽 윤활유,ko
Acelerador Mecánico,시계태엽 윤활유,ko
Acelerador de relojería,시계태엽 윤활유,ko
Acero Dorado,도금 강철,ko
Acero dorado,도금 강철,ko
Achat 3 étoiles,동료 제작,ko
Acier doré,도금 강철,ko
Actualiza sin parar,새로고침의 날,ko
Acumular,장기 투자,ko
Acélszív,강철의 심장,ko
Adagas Oscilantes,명멸검,ko
Adaletin Eli,정의의 손길,ko
Adaletin Yumruğu,응징,ko
Adaptive Helm,적응형 투구,ko
Adaptiver Helm,적응형 투구,ko
Adaptív sisak,적응형 투구,ko
Addestramento da Guardia del corpo,경호대 훈련,ko
Adiestramiento de guardaespaldas,경호대 훈련,ko
Advanced Loan,대출 선지급,ko
Aegis of Dawn,새벽의 방패,ko
Aegis of Dusk,황혼의 방패,ko
Agujero negro en miniatura,소형 블랙홀,ko
Ahri aurája,아리의 오라,ko
Ahri áldása,아리의 은총,ko
Ahri'nin Haresi,아리의 오라,ko
Ahri'nin Lütfu,아리의 은총,ko
Ahri's Aura,아리의 오라,ko
Ahri's Boon,아리의 은총,ko
Ahris Aura,아리의 오라,ko
Ahris Segen,아리의 은총,ko
Ahřin dar,아리의 은총,ko
Ahřina aura,아리의 오라,ko
Ajándékcsomag,선물 꾸러미,ko
Akali,아칼리,ko
Akan Gözyaşları,흐르는 눈물,ko
Akcelerator Nakręcanego,시계태엽 윤활유,ko
Aklın Sonu,마법사의 최후,ko
Aktualisierungstaumel,새로고침의 날,ko
Akıllı Harcama,현명한 소비,ko
Al Filo de la Cordura,마법사의 최후,ko
Alacakaranlık Kalkanı,황혼의 방패,ko
Alakzatba,정렬,ko
Alba di Silvermere,은빛 여명,ko
Alcance as Estrelas,저 별을 향해,ko
Alege caracteristica,특성 선택,ko
Alevleri Körükle,땔감 제공,ko
Alfanje Espectral,망령 해적검,ko
Aliado do Protetor,수호자의 친구,ko
Alianza del Guardián,수호자의 친구,ko
Alianza del protector,수호자의 친구,ko
Aliatul îngrijitorului,수호자의 친구,ko
Alimenta las Llamas,땔감 제공,ko
Alimentad las llamas,땔감 제공,ko
Alimentare le fiamme,땔감 제공,ko
Alimente as Chamas,땔감 제공,ko
Alineación,정렬,ko
Aliniere,정렬,ko
Alkatrészes zsák,아이템 꾸러미,ko
Alleato del custode,수호자의 친구,ko
Allumer le feu,땔감 제공,ko
Alma da Festa,파티광,ko
Alta Voltagem,고전압,ko
Alta tensione,고전압,ko
Alto Voltaje,고전압,ko
Alto voltaje,고전압,ko
Altın Ejder,황금 드래곤,ko
Altın Riski,경품 추첨,ko
Altın Yumurta,황금 알,ko
Alvorada de Pratânia,은빛 여명,ko
Aléatoire jacta est,가지 뻗기,ko
Aléatoirement vôtre,2인조,ko
Alışveriş Çılgınlığı,흥청망청,ko
Amanecer Plateado,은빛 여명,ko
Amanecer de Meraplata,은빛 여명,ko
Ami sur mesure,친구 만들기,ko
Amico dei Mippi,정령족,ko
Amico fai-da-te,친구 만들기,ko
Amigos a medida,친구 만들기,ko
Amiguinhos,작은 친구들,ko
Amiguitos,작은 친구들,ko
Amulet Vyzdvižení,승천의 부적,ko
Amulett der eisernen Solari,강철의 솔라리 펜던트,ko
Amulett des Aufstiegs,승천의 부적,ko
An Exalted Adventure,고귀한 모험,ko
Ana Karaktere Bir Şey Olmaz,주인공 버프,ko
Andare per le lunghe,장기 투자,ko
Angajament solid,극진한 헌신,ko
Ani Büyüme,폭발적인 성장,ko
Anima,동물특공대,ko
Anima Amblemi,동물특공대 상징,ko
Anima Commander,동물특공대 지휘관,ko
Anima Emblem,동물특공대 상징,ko
Anima Komutanı,동물특공대 지휘관,ko
Anima-Emblem,동물특공대 상징,ko
Anima-Kommandant,동물특공대 지휘관,ko
Animale da festa,파티광,ko
Animalia,동물특공대,ko
Antrenamentul gărzii de corp,경호대 훈련,ko
Anı Yaşa,재빠른 무장,ko
Apariencia Espiritual,정령의 형상,ko
Apocaliptic,파멸자,ko
Aposta em Ouro,경품 추첨,ko
Apoteotická kovárna,신성한 대장간,ko
Apotheotic Forge,신성한 대장간,ko
Appel du chaos,혼돈의 부름,ko
Aprendizados Iniciais,조기 교육,ko
Aprendizaje inicial,조기 교육,ko
Aprire un passaggio,길을 내라,ko
Apró cimborák,작은 친구들,ko
Apró titánok,꼬마 거인,ko
Apuesta Dorada,경품 추첨,ko
Apuesta dorada,경품 추첨,ko
Apunta a las Estrellas,저 별을 향해,ko
Apunta a las estrellas,저 별을 향해,ko
Apărător,선봉대,ko
Aradığını Bul,그냥 눌러,ko
Arakla,슬쩍하기,ko
Araldo di Zeke,지크의 전령,ko
Aranyjátszma,경품 추첨,ko
Arauto Desolador de Zeke,지크의 음산한 전령,ko
Arauto de Zeke,지크의 전령,ko
Arbiter,중재자,ko
Arbiter Emblem,중재자 상징,ko
Arbitro,중재자,ko
Arbitrzy,중재자,ko
Arc courbe,곡궁,ko
Arc încovoiat,곡궁,ko
Arcane Vidor Viktor,아케인 빅토르이!,ko
Arcane Viktor-y,아케인 빅토르이!,ko
Arcane ビクタリー,아케인 빅토르이!,ko
Arcane-Viktor-y,아케인 빅토르이!,ko
Arcaniquement Viktor-ieux,아케인 빅토르이!,ko
Archandělova hůl,대천사의 지팡이,ko
Archangel's Staff,대천사의 지팡이,ko
Archi da supporto,예비 활,ko
Archibugio a ripetizione,고속 연사포,ko
Arco Recurvado,곡궁,ko
Arco Recurvo,곡궁,ko
Arco curvo,곡궁,ko
Arco ricurvo,곡궁,ko
Arcos Reserva,예비 활,ko
Arcos de Repuesto,예비 활,ko
Arcos de refuerzo,예비 활,ko
Arcs à gogo,예비 활,ko
Arcuri de rezervă,예비 활,ko
Argento vivo,수은,ko
Argint viu,수은,ko
Argogranchio,협곡 바위 게,ko
Arka Sıra Savunması,후방 설계도,ko
Arkangyal pálcája,대천사의 지팡이,ko
Arma un Amigo,친구 만들기,ko
Armado máximo,극대화 빌드,ko
Armadura Improvisada,임시변통 방어구,ko
Armadura Pétrea,가고일 돌갑옷,ko
Armadura de Warmog,워모그의 갑옷,ko
Armadura de trama,주인공 버프,ko
Armadura improvisada,임시변통 방어구,ko
Armaguarda da Caçadora,추적자의 팔목 보호대,ko
Armatura di Warmog,워모그의 갑옷,ko
Armatura improvvisata,임시변통 방어구,ko
Armschutz des Suchenden,추적자의 팔목 보호대,ko
Armura lui Warmog,워모그의 갑옷,ko
Armure de Warmog,워모그의 갑옷,ko
Armure improvisée,임시변통 방어구,ko
Armure roncière,덤불 조끼,ko
Armurier,검 제작자,ko
Armură improvizată,임시변통 방어구,ko
Aronguejo,협곡 바위 게,ko
Arta atacului lui Yasuo,야스오의 검술,ko
Artefacts à la rescousse,힘을 실은 제련,ko
Artesanía Creativa,정교한 공예,ko
Artiglio del drago,용의 발톱,ko
Artiglio del predatore,자객의 발톱,ko
Aruncare magică,마법 주사위,ko
Arındırıcı,구원자,ko
Asalto de Componentes,조합 아이템 강탈,ko
Ascender de Posición,서열 상승,ko
Ascension,초월,ko
Ascension partielle,불완전한 초월,ko
Ascension sociale,출세가도,ko
Ascensione,초월,ko
Ascensione parziale,불완전한 초월,ko
Ascensiune,초월,ko
Ascensiune socială,출세가도,ko
Ascensión,초월,ko
Ascensión parcial,불완전한 초월,ko
Ascenso,초월,ko
Ascenso social,출세가도,ko
Ascensão,초월,ko
Ascensão Parcial,불완전한 초월,ko
Asesinato Doble Veloz,재빠른 더블 킬,ko
Asesinato doble veloz,재빠른 더블 킬,ko
Asesino a Sueldo,청부 살인마,ko
Asesino a sueldo,청부 살인마,ko
Aspoň k něčemu,다 쓸 데가 있다니까,ko
Assassinato Indiscriminado,무차별적 살인자,ko
Assinatura de Luxo,호화로운 정기 구독,ko
Astral,별돌보미,ko
Astro-groove,우주 그루브,ko
Astromante,별돌보미,ko
Astronomo,별돌보미,ko
At What Cost,응당한 대가,ko
Atalho à Vitória,성취,ko
Atirador de Elite,저격수,ko
Atributo elegido,특성 선택,ko
Attente récompensée,기다림의 미학,ko
Attribut wählen,특성 선택,ko
Atualização Épica,서사적 새로고침,ko
Atılgan,도전자,ko
Atılgan Amblemi,도전자 상징,ko
Atılgan Modu,도전자 모드,ko
Au bout du rouleau,마법사의 최후,ko
Aube de Haut-Lac-d'Argent,은빛 여명,ko
Auf lange Sicht,장기 투자,ko
Aufschwung,재생의 바람,ko
Aufstellung,정렬,ko
Aufstieg,초월,ko
Auftragsmörder,청부 살인마,ko
Aufwärtsmobilität,출세가도,ko
Augmented Power,증강된 힘,ko
Augmentierte Macht,증강된 힘,ko
Augmentovaná síla,증강된 힘,ko
Aulas de Boxe,권투 교습,ko
Aumento di livello in solitaria,나 혼자 레벨업,ko
Aumento di livello!,레벨 업!,ko
Aura Ahri,아리의 오라,ko
Aura Farming,오라 축적,ko
Aura d'Ahri,아리의 오라,ko
Aura de Ahri,아리의 오라,ko
Aura di Ahri,아리의 오라,ko
Aura lui Ahri,아리의 오라,ko
Aura-farmen,오라 축적,ko
Aurafarmolás,오라 축적,ko
Aurelion Sol,아우렐리온 솔,ko
Aurelion Sol áldása,아우렐리온 솔의 은총,ko
Aurelion Sol's Boon,아우렐리온 솔의 은총,ko
Aurelion Sol'ün Lütfu,아우렐리온 솔의 은총,ko
