source,target,tgt_lng
Aatrox,Aatrox,pl
Ahri,Ahri,pl
Ambessa,Ambessa,pl
Anivia,Anivia,pl
Annie,Annie,pl
Aphelios,Aphelios,pl
Ashe,Ashe,pl
Aurelion Sol,Aurelion Sol,pl
Azir,Azir,pl
Bard,Bard,pl
Baron Nashor,Baron Nashor,pl
Bel'Veth,Bel'Veth,pl
Blitzcrank,Blitzcrank,pl
Braum,Braum,pl
Briar,Briar,pl
Brock,Brock,pl
Caitlyn,Caitlyn,pl
Cho'Gath,Cho'Gath,pl
Darius,Darius,pl
Diana,Diana,pl
Dr. Mundo,Dr Mundo,pl
Draven,Draven,pl
Ekko,Ekko,pl
Elder Dragon,Starszy Smok,pl
Fiddlesticks,Fiddlesticks,pl
Fizz,Fizz,pl
Galio,Galio,pl
Gangplank,Gangplank,pl
Garen,Garen,pl
Golem,Golem,pl
Graves,Graves,pl
Gwen,Gwen,pl
Illaoi,Illaoi,pl
Jarvan IV,Jarvan IV,pl
Jhin,Jhin,pl
Jinx,Jinx,pl
Kai'Sa,Kai'Sa,pl
Kalista,Kalista,pl
Kennen,Kennen,pl
Kindred,Kindred,pl
Kobuko & Yuumi,Kobuko i Yuumi,pl
Kog'Maw,Kog'Maw,pl
LeBlanc,LeBlanc,pl
Leona,Leona,pl
Lissandra,Lissandra,pl
Loris,Loris,pl
Lucian & Senna,Lucian i Senna,pl
Lulu,Lulu,pl
Lux,Lux,pl
Malzahar,Malzahar,pl
Mel,Mel,pl
Milio,Milio,pl
Miss Fortune,Miss Fortune,pl
Nasus,Nasus,pl
Nautilus,Nautilus,pl
Neeko,Neeko,pl
Nidalee,Nidalee,pl
Orianna,Orianna,pl
Ornn,Ornn,pl
Piltover Invention,Wynalazek Piltover,pl
Poppy,Poppy,pl
Qiyana,Qiyana,pl
Rek'Sai,Rek'Sai,pl
Renekton,Renekton,pl
Rift Herald,Herold,pl
Rift Scuttler,Wędrujący Krab,pl
Rumble,Rumble,pl
Ryze,Ryze,pl
Sejuani,Sejuani,pl
Seraphine,Seraphine,pl
Sett,Sett,pl
Shen,Shen,pl
Shyvana,Shyvana,pl
Singed,Singed,pl
Sion,Sion,pl
Skarner,Skarner,pl
Sona,Sona,pl
Swain,Swain,pl
Sylas,Sylas,pl
T-Hex,T-Hex,pl
Tahm Kench,Tahm Kench,pl
Taric,Taric,pl
Teemo,Teemo,pl
Thresh,Thresh,pl
Training Dummy,Kukła Treningowa,pl
Tristana,Tristana,pl
Tryndamere,Tryndamere,pl
Twisted Fate,Twisted Fate,pl
Vayne,Vayne,pl
Veigar,Veigar,pl
Vi,Vi,pl
Viego,Viego,pl
Volibear,Volibear,pl
Warwick,Warwick,pl
Wukong,Wukong,pl
Xerath,Xerath,pl
Xin Zhao,Xin Zhao,pl
Yasuo,Yasuo,pl
Yone,Yone,pl
Yorick,Yorick,pl
Yunara,Yunara,pl
Zaahen,Zaahen,pl
Ziggs,Ziggs,pl
Zilean,Zilean,pl
Zoe,Zoe,pl
Arcanist,Adept Arkanów,pl
Ascendant,Wschodzący,pl
Assimilator,Asymilator,pl
Bilgewater,Bilgewater,pl
Blacksmith,Kowal,pl
Bruiser,Osiłek,pl
Caretaker,Opiekun,pl
Chainbreaker,Wyzwolony,pl
Chosen Wolves,Wybrani przez Wilka,pl
Chronokeeper,Strażnik Czasu,pl
Dark Child,Dziecko Ciemności,pl
Darkin,Darkin,pl
Defender,Obrońca,pl
Demacia,Demacia,pl
Disruptor,Zakłócacz,pl
Dragonborn,Córa Smoków,pl
Dragonguards,Smocza Gwardia,pl
Emperor,Imperator,pl
Eternal,Wieczni,pl
Freljord,Freljord,pl
Glutton,Żarłok,pl
Gunslinger,Rewolwerowiec,pl
Harvester,Żniwiarz,pl
Heroic,Heros,pl
HexMech,HexMech,pl
Huntress,Łowczyni,pl
Immortal,Nieśmiertelny,pl
Invoker,Wzywający,pl
Ionia,Ionia,pl
Ixtal,Ixtal,pl
Juggernaut,Moloch,pl
Longshot,Dalekostrzelec,pl
Noxus,Noxus,pl
Piltover,Piltover,pl
Poison Pals,Trujący Towarzysze,pl
Quickstriker,Napastnik,pl
Riftscourge,Pogromca Riftu,pl
Rune Mage,Mag Run,pl
Sentinels of Light,Strażnik Światła,pl
