source,target,tgt_lng
Aatrox,Aatrox,pt-BR
Ahri,Ahri,pt-BR
Ambessa,Ambessa,pt-BR
Anivia,Anivia,pt-BR
Annie,Annie,pt-BR
Aphelios,Aphelios,pt-BR
Ashe,Ashe,pt-BR
Aurelion Sol,Aurelion Sol,pt-BR
Azir,Azir,pt-BR
Bard,Bardo,pt-BR
Baron Nashor,Barão Na'Shor,pt-BR
Bel'Veth,Bel'Veth,pt-BR
Blitzcrank,Blitzcrank,pt-BR
Braum,Braum,pt-BR
Briar,Briar,pt-BR
Brock,Brock,pt-BR
Caitlyn,Caitlyn,pt-BR
Cho'Gath,Cho'Gath,pt-BR
Darius,Darius,pt-BR
Diana,Diana,pt-BR
Dr. Mundo,Dr. Mundo,pt-BR
Draven,Draven,pt-BR
Ekko,Ekko,pt-BR
Elder Dragon,Dragão Ancião,pt-BR
Fiddlesticks,Fiddlesticks,pt-BR
Fizz,Fizz,pt-BR
Galio,Galio,pt-BR
Gangplank,Gangplank,pt-BR
Garen,Garen,pt-BR
Golem,Golem,pt-BR
Graves,Graves,pt-BR
Gwen,Gwen,pt-BR
Illaoi,Illaoi,pt-BR
Jarvan IV,Jarvan IV,pt-BR
Jhin,Jhin,pt-BR
Jinx,Jinx,pt-BR
Kai'Sa,Kai'Sa,pt-BR
Kalista,Kalista,pt-BR
Kennen,Kennen,pt-BR
Kindred,Kindred,pt-BR
Kobuko & Yuumi,Kobuko e Yuumi,pt-BR
Kog'Maw,Kog'Maw,pt-BR
LeBlanc,LeBlanc,pt-BR
Leona,Leona,pt-BR
Lissandra,Lissandra,pt-BR
Loris,Loris,pt-BR
Lucian & Senna,Lucian e Senna,pt-BR
Lulu,Lulu,pt-BR
Lux,Lux,pt-BR
Malzahar,Malzahar,pt-BR
Mel,Mel,pt-BR
Milio,Milio,pt-BR
Miss Fortune,Miss Fortune,pt-BR
Nasus,Nasus,pt-BR
Nautilus,Nautilus,pt-BR
Neeko,Neeko,pt-BR
Nidalee,Nidalee,pt-BR
Orianna,Orianna,pt-BR
Ornn,Ornn,pt-BR
Piltover Invention,Invenção de Piltover,pt-BR
Poppy,Poppy,pt-BR
Qiyana,Qiyana,pt-BR
Rek'Sai,Rek'Sai,pt-BR
Renekton,Renekton,pt-BR
Rift Herald,Arauto do Vale,pt-BR
Rift Scuttler,Aronguejo,pt-BR
Rumble,Rumble,pt-BR
Ryze,Ryze,pt-BR
Sejuani,Sejuani,pt-BR
Seraphine,Seraphine,pt-BR
Sett,Sett,pt-BR
Shen,Shen,pt-BR
Shyvana,Shyvana,pt-BR
Singed,Singed,pt-BR
Sion,Sion,pt-BR
Skarner,Skarner,pt-BR
Sona,Sona,pt-BR
Swain,Swain,pt-BR
Sylas,Sylas,pt-BR
T-Hex,T-Hex,pt-BR
Tahm Kench,Tahm Kench,pt-BR
Taric,Taric,pt-BR
Teemo,Teemo,pt-BR
Thresh,Thresh,pt-BR
Training Dummy,Boneco de Treinamento,pt-BR
Tristana,Tristana,pt-BR
Tryndamere,Tryndamere,pt-BR
Twisted Fate,Twisted Fate,pt-BR
Vayne,Vayne,pt-BR
Veigar,Veigar,pt-BR
Vi,Vi,pt-BR
Viego,Viego,pt-BR
Volibear,Volibear,pt-BR
Warwick,Warwick,pt-BR
Wukong,Wukong,pt-BR
Xerath,Xerath,pt-BR
Xin Zhao,Xin Zhao,pt-BR
Yasuo,Yasuo,pt-BR
Yone,Yone,pt-BR
Yorick,Yorick,pt-BR
Yunara,Yunara,pt-BR
Zaahen,Zaahen,pt-BR
Ziggs,Ziggs,pt-BR
Zilean,Zilean,pt-BR
Zoe,Zoe,pt-BR
Arcanist,Arcanista,pt-BR
Ascendant,Ascendente,pt-BR
Assimilator,Assimilador,pt-BR
Bilgewater,Águas de Sentina,pt-BR
Blacksmith,Ferreiro,pt-BR
Bruiser,Brutamontes,pt-BR
Caretaker,Cuidador,pt-BR
Chainbreaker,Quebra-correntes,pt-BR
Chosen Wolves,Lobos Escolhidos,pt-BR
Chronokeeper,Guardião do Tempo,pt-BR
Dark Child,Criança Sombria,pt-BR
Darkin,Darkin,pt-BR
Defender,Defendente,pt-BR
Demacia,Demacia,pt-BR
Disruptor,Disruptor,pt-BR
Dragonborn,Meio-Dragão,pt-BR
Dragonguards,Guardas Dracônicas,pt-BR
Emperor,Imperador,pt-BR
Eternal,Eterno,pt-BR
Freljord,Freljord,pt-BR
Glutton,Glutão,pt-BR
Gunslinger,Pistoleiro,pt-BR
Harvester,Ceifeiro,pt-BR
Heroic,Heroico,pt-BR
HexMech,HexMech,pt-BR
Huntress,Caçadora,pt-BR
Immortal,Imortal,pt-BR
Invoker,Emanador,pt-BR
Ionia,Ionia,pt-BR
Ixtal,Ixtal,pt-BR
Juggernaut,Colosso,pt-BR
Longshot,Tiro Longo,pt-BR
Noxus,Noxus,pt-BR
Piltover,Piltover,pt-BR
Poison Pals,Colegas Venenosos,pt-BR
Quickstriker,Célere,pt-BR
Riftscourge,Flagelo do Vale,pt-BR
Rune Mage,Mago Rúnico,pt-BR
Sentinels of Light,Sentinelas da Luz,pt-BR
Shadow Isles,Ilhas das Sombras,pt-BR
Shurima,Shurima,pt-BR
Slayer,Dizimador,pt-BR
Soulbound,Elo Espiritual,pt-BR
Star Forger,Forjador de Estrelas,pt-BR
Targon,Targon,pt-BR
The Boss,O Chefe,pt-BR
Timewinders,Giratempos,pt-BR
Vanquisher,Aniquilador,pt-BR
Void,Vazio,pt-BR
Warden,Vigia,pt-BR
World Ender,Aniquilador de Mundos,pt-BR
Yordle,Yordle,pt-BR
Zaun,Zaun,pt-BR
3 Threes,Três 3,pt-BR
A Magic Roll,Jogada Mágica,pt-BR
Advanced Loan,Empréstimo Avançado,pt-BR
Air Axiom,Axioma do Ar,pt-BR
Arcane Viktor-y,Viktória Arcana,pt-BR
Artillery Barrage,Barragem de Artilharia,pt-BR
Ascension,Ascensão,pt-BR
Band of Thieves,Bando de Ladrões,pt-BR
Belt Overflow,Promoção de Cintos,pt-BR
Best Friends,Melhores Amigos,pt-BR
Big Friend,Amigão,pt-BR
Big Grab Bag,Saco de Brindes Recheado,pt-BR
Binary Airdrop,Lançamento Binário,pt-BR
Birthday Present,Presente de Aniversário,pt-BR
Birthday Reunion,Festa de Aniversário,pt-BR
Blood Offering,Oferenda de Sangue,pt-BR
Bodyguard Training,Treinamento de Guarda-costas,pt-BR
Boxing Lessons,Aulas de Boxe,pt-BR
Branching Out,Mudando de Área,pt-BR
Bringer of Ruin,Emissário da Devastação,pt-BR
Bronze For Life,Bronze é Vida,pt-BR
Buried Treasures,Tesouros Enterrados,pt-BR
Care Package,Pacote de Suprimentos,pt-BR
Caretaker's Ally,Aliado do Protetor,pt-BR
Celestial Blessing,Bênção Celestial,pt-BR
Chaotic Evolution,Evolução Caótica,pt-BR
Commerce Core,Núcleo de Negócios,pt-BR
Component Buffet,Deleite de Componentes,pt-BR
Construct a Companion,Construção de Companheiro,pt-BR
Cooking Pot,Panelinha,pt-BR
Coronation,Coroação,pt-BR
Corrosion,Corrosão,pt-BR
Cosmic Calling,Chamado Cósmico,pt-BR
Crafted Crafting,Criação Engenhosa,pt-BR
Crash Test Dummies,Bonecos de Impacto,pt-BR
Crown's Will,Desejo da Coroa,pt-BR
Cry Me A River,"Chora, me liga",pt-BR
Darkwill's Invasion,Invasão de Darkwill,pt-BR
Deadlier Blades,Lâminas Fatais,pt-BR
Deadlier Caps,Capuzes Mais Mortais,pt-BR
Defense of the Placidium,Defesa do Placídio,pt-BR
Demacia Forever,Eternamente Demacia,pt-BR
Double Trouble,Encrenca em Dobro,pt-BR
Dragonguards,Guarda Dracônica,pt-BR
Dummify,Transformação em Boneco,pt-BR
Duo Queue,Fila em Dupla,pt-BR
Earth Axiom,Axioma da Terra,pt-BR
Epic Rolldown,Atualização Épica,pt-BR
Exclusive Customization,Personalização Exclusiva,pt-BR
Exiles,Exilados,pt-BR
Expected Unexpectedness,Esperando o Inesperado,pt-BR
Explosive Growth,Crescimento Explosivo,pt-BR
Eye For An Eye,Olho por Olho,pt-BR
Feed the Flames,Alimente as Chamas,pt-BR
Find Your Center,Em Busca do Centro,pt-BR
Fire Axiom,Axioma do Fogo,pt-BR
Focused Fire,Fogo Concentrado,pt-BR
Giant and Mighty,Gigante e Poderoso,pt-BR
Gilded Steel,Aço Áureo,pt-BR
Glass Cannon,Canhão de Vidro,pt-BR
Going Long,Longo Prazo,pt-BR
Gold Destiny,Destino Dourado,pt-BR
Golemify,Transformação em Golem,pt-BR
Good For Something,Serve para Algo,pt-BR
Growth Mindset,Mentalidade de Crescimento,pt-BR
Hard Commit,Compromisso Sério,pt-BR
Healing Orbs,Orbes Curativos,pt-BR
Heart of Steel,Coração de Aço,pt-BR
Heavy Is the Crown,Pesada é a Coroa,pt-BR
Hedge Fund,Fundo de Garantia,pt-BR
Hefty Rolls,Atualização Pesada,pt-BR
Heroic Grab Bag,Saco de Brindes Heroico,pt-BR
Hexgate Travel,Deslocamento de Hexportal,pt-BR
High Voltage,Alta Voltagem,pt-BR
Hold the Line,Mantenha a Posição,pt-BR
Indecision,Indecisão,pt-BR
Indiscriminate Killer,Assassinato Indiscriminado,pt-BR
Invested,Investimento,pt-BR
Iron Assets,Recursos de Ferro,pt-BR
Item Grab Bag,Saco de Brindes,pt-BR
Jeweled Lotus,Lótus Adornada,pt-BR
Just Hit,Impossível Recusar,pt-BR
Kahunahuna,Kahunahuna,pt-BR
Last Second Save,Salvamento Preciso,pt-BR
Late Game Scaling,Escalamento de Fim de Jogo,pt-BR
Late Game Specialist,Especialista em Fim de Jogo,pt-BR
Leap of Faith,Salto de Fé,pt-BR
Legion of Threes,Legião de Três,pt-BR
Level Up!,Novo Nível!,pt-BR
Lifting Competition,Competição de Powerlifting,pt-BR
Lineup,Enfileirando,pt-BR
Little Buddies,Amiguinhos,pt-BR
Lucky Gloves,Luvas da Sorte,pt-BR
Mace's Will,Desejo da Maça,pt-BR
Makeshift Armor,Armadura Improvisada,pt-BR
Mess Hall,Refeitório,pt-BR
Min-Max,Otimização,pt-BR
Missed Connections,Conexões Perdidas,pt-BR
Money Monsoon,Monção Monetária,pt-BR
On a Roll,Rolo Compressor,pt-BR
"One Buff, Two Buff",Distribuição de Efeitos,pt-BR
One Twos Three,"Um, Dois, Dois, Três",pt-BR
"One, Two, Five!","Um, Dois, Cinco!",pt-BR
Pandora's Bench,Reserva de Pandora,pt-BR
Pandora's Items,Itens de Pandora,pt-BR
Patience is a Virtue,Quem Espera Sempre Alcança,pt-BR
Placebo,Placebo,pt-BR
Plot Armor,Plot Armor,pt-BR
Portable Forge,Forja Portátil,pt-BR
Precision and Grace,Precisão e Graça,pt-BR
Preparation,Preparação,pt-BR
Prismatic Destiny,Destino Prismático,pt-BR
Prismatic Ticket,Bilhete Prismático,pt-BR
Promised Protection,Proteção Prometida,pt-BR
Pyromaniac,Piromania,pt-BR
Radiant Rascal,Malandro Radiante,pt-BR
Radiant Relics,Relíquias Radiantes,pt-BR
Raining Gold,Tá Chovendo Ouro,pt-BR
Recombobulator,Recombobulador,pt-BR
ReinFOURcement,EsQUATRão,pt-BR
Replication,Replicação,pt-BR
Restart Mission,Recomeçar Missão,pt-BR
Retribution,Castigo,pt-BR
Rolling For Days,Troca Sem Fim,pt-BR
Savings Account,Conta Poupança,pt-BR
Second Wind,Ventos Revigorantes,pt-BR
Seraphim's Staff,Cajado de Serafim,pt-BR
Shimmerscale Essence,Essência de Escamaluz,pt-BR
Shopping Spree,Maratona de Compras,pt-BR
Silco's Revenge,Vingança de Silco,pt-BR
Silver Destiny,Destino Prateado,pt-BR
Silver Spoon,Colher de Prata,pt-BR
Slightly Magic Roll,Jogada Levemente Mágica,pt-BR
Small Grab Bag,Saco de Brindes Pequeno,pt-BR
Solo Plate,Placa Solo,pt-BR
Soul Awakening,Despertar da Alma,pt-BR
Spear's Will,Desejo da Lança,pt-BR
Spirit of Redemption,Espírito de Redenção,pt-BR
Spreading Roots,Raízes Alastradas,pt-BR
Staffsmith,Fabricante de Bastões,pt-BR
Stand United,Manter a União,pt-BR
Stars Are Born,Nascimento das Estrelas,pt-BR
Starter Kit,Kit de Iniciante,pt-BR
Sweet Treats,Doces Deleites,pt-BR
Sword Overflow,Promoção de Espadas,pt-BR
Swordsmith,Fabricante de Espadas,pt-BR
Teaming Up,Parceria,pt-BR
The Axiomata,Os Axiomata,pt-BR
The Golden Dragon,Dragão Dourado,pt-BR
The Ruined King,O Rei Destruído,pt-BR
The Trait Tree,Árvore de Características,pt-BR
The World Runes,Runas Globais,pt-BR
Thorn-Plated Armor,Armadura Espinhosa,pt-BR
"Tiny, but Deadly","Pequenas, Mas Letais",pt-BR
Tons of Stats!,Toneladas de Atributos!,pt-BR
Trade Sector,Setor de Troca,pt-BR
Trials of Twilight,Provações do Crepúsculo,pt-BR
Trifecta,Trinca,pt-BR
Twin Guardians,Guardiões Gêmeos,pt-BR
Two Much Value,Valor em Excesso,pt-BR
Two Trick,Truque em Dobro,pt-BR
U.R.F,URF,pt-BR
Unsealed From Steel,Liberto do Aço,pt-BR
Upward Mobility,Mobilidade Crescente,pt-BR
Wand Overflow,Promoção de Varinhas,pt-BR
Warlord's Honor,Honra do Mestre da Guerra,pt-BR
Water Axiom,Axioma da Água,pt-BR
We Stick Together,A União Faz a Força,pt-BR
Wild Growth,Crescimento Virente,pt-BR
Win Out,Atalho à Vitória,pt-BR
Wood Axiom,Axioma da Madeira,pt-BR
Woven Magic,Tecendo Magia,pt-BR
90 Caliber Nets,Redes Calibre 90,pt-BR
Acceleration Gate,Portão Acelerador,pt-BR
Adaptive Helm,Elmo Adaptativo,pt-BR
Aegis of Dawn,Égide da Alvorada,pt-BR
Aegis of Dusk,Égide do Crepúsculo,pt-BR
Arcanist Emblem,Emblema de Arcanista,pt-BR
Archangel's Staff,Cajado do Arcanjo,pt-BR
Armor Nullifier,Anulador de Armadura,pt-BR
B.F. Sword,Espada G.p.C.,pt-BR
Barknuckles,Socrustáceo,pt-BR
Bilgewater Emblem,Emblema de Águas de Sentina,pt-BR
Bilgewater Lesser Champion Duplicator,Duplicador de Campeão Inferior de Águas de Sentina,pt-BR
Black Market Restock,Reabastecimento do Mercado Clandestino,pt-BR
Blackmarket Explosives,Explosivos do Mercado Clandestino,pt-BR
Blast Shield,Blindagem,pt-BR
Blighting Jewel,Joia da Ruína,pt-BR
Bloodthirster,Sedenta por Sangue,pt-BR
Blue Buff,Efeito Azul,pt-BR
Bramble Vest,Colete Espinhoso,pt-BR
Brigand's Dice,Dados do Salteador,pt-BR
Bruiser Emblem,Emblema de Brutamontes,pt-BR
Cappa Juice,Suco de Chapéu,pt-BR
Captain's Brew,Bebida do Capitão,pt-BR
Captain's Hat,Chapéu do Capitão,pt-BR
Chain Vest,Cota de Malha,pt-BR
Chalice of Power,Cálice do Poder,pt-BR
Continuum Cogs,Engrenagens de Contínuo,pt-BR
Corrupt Vampiric Scepter,Cetro Vampírico Corrompido,pt-BR
Crownguard,Stemmaguarda,pt-BR
Cursed Blade,Lâmina Amaldiçoada,pt-BR
Cutthroat's Cutlass,Sabre do Degolador,pt-BR
Dawncore,Auronúcleo,pt-BR
Dead Man's Dagger,Adaga do Defunto,pt-BR
Deathblade,Lâmina Mortal,pt-BR
Defender Emblem,Emblema de Defendente,pt-BR
Demacia Emblem,Emblema de Demacia,pt-BR
Disruptor Emblem,Emblema de Disruptor,pt-BR
Dragon's Claw,Garra do Dragão,pt-BR
Dreadway Cannon,Canhão do Apavorador,pt-BR
E.M.P.,P.E.M.,pt-BR
Echo Engine,Motor de Eco,pt-BR
Edge of Night,Limiar da Noite,pt-BR
Electrical Overload,Sobrecarga Elétrica,pt-BR
Eternal Pact,Pacto Eterno,pt-BR
Evenshroud,Proteção Imutável,pt-BR
First Mate's Flintlock,Espingarda do Comandante,pt-BR
First One's Free!,O Primeiro é Grátis!,pt-BR
Fishbones,Fishbones,pt-BR
Flickerblades,Adagas Oscilantes,pt-BR
Forbidden Idol,Ídolo Proibido,pt-BR
Freljord Emblem,Emblema de Freljord,pt-BR
Frying Pan,Frigideira,pt-BR
Gargoyle Stoneplate,Placa Gargolítica,pt-BR
Giant Slayer,Mata-Gigantes,pt-BR
Giant's Belt,Cinto do Gigante,pt-BR
Gigantification Ray,Raio Agigantador,pt-BR
Guinsoo's Rageblade,Lâmina da Fúria de Guinsoo,pt-BR
Gunslinger Emblem,Emblema de Pistoleiro,pt-BR
Hand Of Justice,Mão da Justiça,pt-BR
Haunted Spyglass,Luneta Assombrada,pt-BR
Hellfire Hatchet,Machadinha Infernal,pt-BR
Hextech Gunblade,Pistola Laminar Hextec,pt-BR
Horizon Focus,Foco do Horizonte,pt-BR
Infinity Edge,Gume do Infinito,pt-BR
Innervating Locket,Medalhão Enervante,pt-BR
Invoker Emblem,Emblema de Emanador,pt-BR
Ionia Emblem,Emblema de Ionia,pt-BR
Ionic Spark,Centelha Iônica,pt-BR
Ixtal Emblem,Emblema de Ixtal,pt-BR
Jeweled Gauntlet,Manopla Adornada,pt-BR
Juggernaut Emblem,Emblema de Colosso,pt-BR
Kinetic Barrier,Barreira Cinética,pt-BR
Knight's Vow,Juramento do Cavaleiro,pt-BR
Kraken's Fury,Fúria do Cráquem,pt-BR
Last Whisper,Último Sussurro,pt-BR
Lesser Mirrored Persona,Persona Espelhada Inferior,pt-BR
Lich Bane,Perdição de Lich,pt-BR
Lightshield Crest,Insígnia do Lumescudo,pt-BR
Locket of the Iron Solari,Medalhão dos Solari de Ferro,pt-BR
Longshot Emblem,Emblema de Tiro Longo,pt-BR
Lucky Doubloon,Dobrão da Sorte,pt-BR
Luden's Tempest,Tormenta de Luden,pt-BR
Magnetron Coil,Bobina de Magnetron,pt-BR
Mending Echoes,Ecos Restauradores,pt-BR
Micro-Rockets,Micromísseis,pt-BR
Mining Drill,Broca de Mineração,pt-BR
Mirrored Persona,Persona Espelhada,pt-BR
Mittens,Luvinhas,pt-BR
Momentum Drive,Impulsionador de Embalo,pt-BR
Morellonomicon,Morellonomicon,pt-BR
Nashor's Tooth,Dente de Na'Shor,pt-BR
Needlessly Large Rod,Bastão Desnecessariamente Grande,pt-BR
Negatron Cloak,Capa Negatron,pt-BR
Noxus Emblem,Emblema de Noxus,pt-BR
Overclocked Capacitors,Capacitores Tunados,pt-BR
Pile O' Citrus,Pilha Cítrica,pt-BR
Piltover Emblem,Emblema de Piltover,pt-BR
Protector's Vow,Juramento do Protetor,pt-BR
Prowler's Claw,Garra do Espreitador,pt-BR
Quicksilver,Mercúrio,pt-BR
Quickstriker Emblem,Emblema de Célere,pt-BR
Rabadon's Deathcap,Capuz da Morte de Rabadon,pt-BR
Rapid Firecannon,Canhão Fumegante,pt-BR
Realm Warp,Portal de Reinos,pt-BR
Recurve Bow,Arco Recurvo,pt-BR
Red Buff,Efeito Vermelho,pt-BR
Seeker's Armguard,Armaguarda da Caçadora,pt-BR
Shadow Puppet,Marionete das Sombras,pt-BR
Shroud of Stillness,Manto da Imobilidade,pt-BR
Silvermere Dawn,Alvorada de Pratânia,pt-BR
Slayer Emblem,Emblema de Dizimador,pt-BR
Sparring Gloves,Luvas do Pugilista,pt-BR
Spatula,Espátula,pt-BR
Spear of Shojin,Lança de Shojin,pt-BR
Spectral Cutlass,Alfanje Espectral,pt-BR
Spirit Visage,Semblante Espiritual,pt-BR
Statikk Shiv,Faca de Statikk,pt-BR
Steadfast Heart,Coração Inabalável,pt-BR
Sterak's Gage,Sinal de Sterak,pt-BR
Striker's Flail,Mangual do Guerreiro,pt-BR
Sunfire Cape,Capa de Fogo Solar,pt-BR
Superior Lifeform,Forma de Vida Superior,pt-BR
Suspicious Trench Coat,Sobretudo Suspeito,pt-BR
Syren's Broadside,Rajada do Sirene,pt-BR
Tactician's Cape,Capa do Estrategista,pt-BR
Tactician's Crown,Coroa do Estrategista,pt-BR
Tactician's Shield,Escudo do Estrategista,pt-BR
Talisman Of Ascension,Talismã da Ascensão,pt-BR
Tear of the Goddess,Lágrima da Deusa,pt-BR
The Indomitable,Indomável,pt-BR
Thief's Gloves,Luvas do Ladrão,pt-BR
Titan's Resolve,Determinação Titânica,pt-BR
Titanic Hydra,Hidra Titânica,pt-BR
Tome of Traits,Tomo das Características,pt-BR
Treasure Typhoon,Tufão do Tesouro,pt-BR
Tuned Oscillator,Oscilador Sintonizado,pt-BR
Unending Despair,Desespero Eterno,pt-BR
Unstable Core,Núcleo Instável,pt-BR
Upgrade!,Aprimoramento!,pt-BR
Vanquisher Emblem,Emblema de Aniquilador,pt-BR
Virtue of the Martyr,Virtude do Mártir,pt-BR
Void Emblem,Emblema do Vazio,pt-BR
Void Gauntlet,Manopla do Vazio,pt-BR
Void Staff,Cajado do Vazio,pt-BR
Voltage Conduit,Conduíte de Voltagem,pt-BR
Warden Emblem,Emblema de Vigia,pt-BR
Warmog's Armor,Armadura de Warmog,pt-BR
Wit's End,Limite da Razão,pt-BR
Withered Relic,Relíquia Definhada,pt-BR
Yordle Emblem,Emblema de Yordle,pt-BR
Zaun Emblem,Emblema de Zaun,pt-BR
Zeke's Herald,Arauto de Zeke,pt-BR
Zephyr,Zéfiro,pt-BR
Zz'Rot Portal,Portal de Zz'Rot,pt-BR
