source,target,tgt_lng
1个霸符，2个霸符,İki Kat Güçlendirme,tr
2のトリック,İkinin Gücü,tr
3 Threes,3 Üç Altınlık,tr
3×3,3 Üç Altınlık,tr
3の軍団,Üçler Ordusu,tr
8级D干的传说,Destansı Yenileme,tr
90 Caliber Nets,90 Kalibrelik Ağlar,tr
90口径绳网,90 Kalibrelik Ağlar,tr
A Magic Roll,Büyülü Zarlar,tr
Aatrox,Aatrox,tr
Acceleration Gate,Hızlandırma Geçidi,tr
Adaptive Helm,Değişken Miğfer,tr
Advanced Loan,Yüklü Borç,tr
Aegis of Dawn,Şafak Kalkanı,tr
Aegis of Dusk,Alacakaranlık Kalkanı,tr
Ahri,Ahri,tr
Air Axiom,Hava Aksiyomu,tr
Ambessa,Ambessa,tr
Anivia,Anivia,tr
Annie,Annie,tr
Aphelios,Aphelios,tr
Arcane Viktor-y,Viktor'un Sihri,tr
Arcane ビクタリー,Viktor'un Sihri,tr
Arcanist,Sihir Üstadı,tr
Arcanist Emblem,Sihir Üstadı Amblemi,tr
Archangel's Staff,Başmelek Asası,tr
Armor Nullifier,Zırhsavar,tr
Artillery Barrage,Havan Bombardımanı,tr
Ascendant,Yükselmiş,tr
Ascension,Yükseliş,tr
Ashe,Ashe,tr
Assimilator,Özümseyici,tr
Aurelion Sol,Aurelion Sol,tr
Azir,Azir,tr
B.F. Sword,TEK Kılıcı,tr
B.F.ソード,TEK Kılıcı,tr
Band of Thieves,Hırsız Çetesi,tr
Bard,Bard,tr
Barknuckles,Dayanıklı Muşta,tr
Baron Nashor,Baron Nashor,tr
Bel'Veth,Bel'Veth,tr
Belt Overflow,Kemer Fazlalığı,tr
Best Friends,Can Dostları,tr
Big Friend,Büyük Dost,tr
Big Grab Bag,Büyük Çekiliş,tr
Bilgewater,Bilgewater,tr
Bilgewater Emblem,Bilgewater Amblemi,tr
Bilgewater Lesser Champion Duplicator,Bilgewater Küçük Şampiyon Çoğaltıcı,tr
Binary Airdrop,Çifte Hava İkmali,tr
Birthday Present,Doğum Günü Hediyesi,tr
Birthday Reunion,Doğum Günü Buluşması,tr
Black Market Restock,Karaborsa Stoklarını Yenile,tr
Blackmarket Explosives,Karaborsa Patlayıcıları,tr
Blacksmith,Demirci,tr
Blast Shield,Patlama Kalkanı,tr
Blighting Jewel,Felaket Mücevheri,tr
Blitzcrank,Blitzcrank,tr
Blood Offering,Kan Adağı,tr
Bloodthirster,Kanasusamış,tr
Blue Buff,Mavi Güçlendirme,tr
Bodyguard Training,Koruma Eğitimi,tr
Boxing Lessons,Boks Dersi,tr
Bramble Vest,Dikenli Yelek,tr
Branching Out,Dallan Budaklan,tr
Braum,Braum,tr
Briar,Briar,tr
Brigand's Dice,Haydut Zarı,tr
Bringer of Ruin,Yıkımın Alameti,tr
Brock,Brock,tr
Bronze For Life,Bronzdan Şaşma,tr
Bruiser,Kavgacı,tr
Bruiser Emblem,Kavgacı Amblemi,tr
Buried Treasures,Gömülü Hazineler,tr
Caitlyn,Caitlyn,tr
Cappa Juice,Şapkat Nektarı,tr
Captain's Brew,Kaptanın Tarifi,tr
Captain's Hat,Kaptanın Şapkası,tr
Care Package,İhtiyaç Paketi,tr
Caretaker,Bakıcı,tr
Caretaker's Ally,Koruyucunun Müttefiki,tr
Celestial Blessing,Semavi Lütuf,tr
Chain Vest,Zincir Yelek,tr
Chainbreaker,Zincirkıran,tr
Chalice of Power,Güç Kadehi,tr
Chaotic Evolution,Kaotik Evrim,tr
Cho'Gath,Cho'Gath,tr
Chosen Wolves,Seçilmiş Kurtlar,tr
Chronokeeper,Zaman Bekçisi,tr
Commerce Core,Ticaretin Özü,tr
Component Buffet,Açık Büfe,tr
Construct a Companion,Tam Donanımlı,tr
Continuum Cogs,Süreklilik Çarkları,tr
Cooking Pot,Sağlıklı Beslenme,tr
Coronation,Taç Giyme Töreni,tr
Corrosion,Korozyon,tr
Corrupt Vampiric Scepter,Yozlaşmış Vampirî Asa,tr
Cosmic Calling,Kozmik Çağrı,tr
Crafted Crafting,El Emeği Göz Nuru,tr
Crash Test Dummies,Kukla Yağmuru!,tr
Crown's Will,Tacın Dileği,tr
Crownguard,Kraliyet Başlığı,tr
Cry Me A River,Gözyaşları Sel,tr
Cursed Blade,Lanetli Kılıç,tr
Cutthroat's Cutlass,Belalı Palası,tr
C位的觉悟,Merkezini Bul,tr
DD街区,Ticaret Bölgesi,tr
Darius,Darius,tr
Dark Child,Şeytan Çekici,tr
Darkin,Darkin,tr
Darkwill's Invasion,Darkwill'in İşgali,tr
Dawncore,Şafağın Özü,tr
Dead Man's Dagger,Ölü Adamın Hançeri,tr
Deadlier Blades,Ölümcül Bıçaklar,tr
Deadlier Caps,Güçlü Şapkalar,tr
Deathblade,Ölüm Kılıcı,tr
Defender,Savunucu,tr
Defender Emblem,Savunucu Amblemi,tr
Defense of the Placidium,Placidium Savunması,tr
Demacia,Demacia,tr
Demacia Emblem,Demacia Amblemi,tr
Demacia Forever,Ebediyen Demacia,tr
Diana,Diana,tr
Disruptor,Bozguncu,tr
Disruptor Emblem,Bozguncu Amblemi,tr
Double Trouble,Çifte Bela,tr
Dr. Mundo,Dr. Mundo,tr
Dragon's Claw,Ejder Pençesi,tr
Dragonborn,Ejderkanı,tr
Dragonguards,Ejder Muhafızları,tr
Draven,Draven,tr
Dreadway Cannon,Dehşet Yolu Topu,tr
Dummify,Kuklaya Dönüştür,tr
Duo Queue,Çifte Ödül,tr
D个痛快！,Durmadan Yenile,tr
E.M.P.,Elektromanyetik Darbe,tr
Earth Axiom,Toprak Aksiyomu,tr
Echo Engine,Yankı Makinesi,tr
Edge of Night,Gecenin Kıyısı,tr
Ekko,Ekko,tr
Elder Dragon,Kadim Ejderha,tr
Electrical Overload,Aşırı Elektriklenme,tr
Emperor,İmparator,tr
Epic Rolldown,Destansı Yenileme,tr
Eternal,Ebedi,tr
Eternal Pact,Ebedi Anlaşma,tr
Evenshroud,Denge Örtüsü,tr
Exclusive Customization,Kişiselleştirme Fırsatı,tr
Exiles,Sürgünler,tr
Expected Unexpectedness,Beklenen Beklenmezlik,tr
Explosive Growth,Ani Büyüme,tr
Eye For An Eye,Göze Göz,tr
Feed the Flames,Alevleri Körükle,tr
Fiddlesticks,Fiddlesticks,tr
Find Your Center,Merkezini Bul,tr
Fire Axiom,Ateş Aksiyomu,tr
First Mate's Flintlock,İkinci Kaptanın Tabancası,tr
First One's Free!,İlki Bedelsiz!,tr
Fishbones,Kılçık,tr
Fizz,Fizz,tr
Flickerblades,Tezbıçak,tr
Focused Fire,Odaklı Ateş,tr
Forbidden Idol,Yasak İdol,tr
Freljord,Freljord,tr
Freljord Emblem,Freljord Amblemi,tr
Frying Pan,Kızartma Tavası,tr
Galio,Galio,tr
Gangplank,Gangplank,tr
Garen,Garen,tr
Gargoyle Stoneplate,Gargoyl Taşzırhı,tr
Giant Slayer,Dev Katili,tr
Giant and Mighty,Devasa ve Güçlü,tr
Giant's Belt,Dev Kemeri,tr
Gigantification Ray,Devleştirme Işını,tr
Gilded Steel,Yaldızlı Çelik,tr
Glass Cannon,Güçlü Ama Kırılgan,tr
Glutton,Obur,tr
Going Long,Gözü Yükseklerde,tr
Gold Destiny,Altın Kader,tr
Golem,Golem,tr
Golemify,Golem'e Dönüştür,tr
Good For Something,Kedi Olalı Bir Fare,tr
Graves,Graves,tr
Growth Mindset,Gelişim Odaklı,tr
Guinsoo's Rageblade,Guinsoo'nun Hiddeti,tr
Gunslinger,Silahşor,tr
Gunslinger Emblem,Silahşor Amblemi,tr
Gwen,Gwen,tr
Hand Of Justice,Adaletin Eli,tr
Hard Commit,Sadakat,tr
Harvester,Hasatçı,tr
Haunted Spyglass,Lanetli Dürbün,tr
Healing Orbs,Şifalı Küreler,tr
Heart of Steel,Çelikten Yürek,tr
Heavy Is the Crown,Bu Taç Ağır,tr
Hedge Fund,Serbest Yatırım Fonu,tr
Hefty Rolls,Etkili Yenilemeler,tr
Hellfire Hatchet,Cehennem Ateşi Baltası,tr
Heroic,Kahraman,tr
Heroic Grab Bag,Kahraman Çekilişi,tr
HexMech,Hex-Meka,tr
Hexgate Travel,Hexgeçit Seyahati,tr
Hextech Gunblade,Hextech Silahkılıç,tr
High Voltage,Yüksek Voltaj,tr
Hold the Line,Safları Koru,tr
Horizon Focus,Ufukgetiren,tr
Huntress,Avcı,tr
Illaoi,Illaoi,tr
Immortal,Ölümsüz,tr
Indecision,Kararsızlık,tr
Indiscriminate Killer,Herkesin Katili,tr
Infinity Edge,Ebedi Kılıç,tr
Innervating Locket,Zindelik Broşu,tr
Invested,Yatırımın Getirisi,tr
Invoker,Manabaz,tr
Invoker Emblem,Manabaz Amblemi,tr
Ionia,Ionia,tr
Ionia Emblem,Ionia Amblemi,tr
Ionic Spark,İyon Kıvılcımı,tr
Iron Assets,Kıymetli Metaller,tr
Item Grab Bag,Eşya Çekilişi,tr
Ixtal,Ixtal,tr
Ixtal Emblem,Ixtal Amblemi,tr
Jarvan IV,Jarvan IV,tr
Jeweled Gauntlet,Mücevherli Eldiven,tr
Jeweled Lotus,Mücevherli Nilüfer,tr
Jhin,Jhin,tr
Jinx,Jinx,tr
Juggernaut,Ezergeçer,tr
Juggernaut Emblem,Ezergeçer Amblemi,tr
Just Hit,Aradığını Bul,tr
Kahunahuna,Saklı Gerçek,tr
Kai'Sa,Kai'Sa,tr
Kalista,Kalista,tr
Kennen,Kennen,tr
Kindred,Kindred,tr
Kinetic Barrier,Kinetik Bariyer,tr
Knight's Vow,Şövalyenin Adağı,tr
Kobuko & Yuumi,Kobuko ve Yuumi,tr
Kog'Maw,Kog'Maw,tr
Kraken's Fury,Kraken'in Öfkesi,tr
L-90 カリバーネット,90 Kalibrelik Ağlar,tr
Last Second Save,Son Saniyede Kurtuluş,tr
Last Whisper,Son Fısıltı,tr
Late Game Scaling,İleri Safha Gücü,tr
Late Game Specialist,İleri Safhalarda Görüşürüz,tr
LeBlanc,LeBlanc,tr
Leap of Faith,İlahi Ders,tr
Legion of Threes,Üçler Ordusu,tr
