source,target,tgt_lng
1个霸符，2个霸符,"Một Bùa, Hai Bùa",vi
2のトリック,Số 2 May Mắn,vi
3 Threes,Chỉ 3 Vàng,vi
3×3,Chỉ 3 Vàng,vi
3の軍団,Quân Đoàn 3 Sao,vi
8级D干的传说,Xúc Xắc Hoành Tráng,vi
90 Caliber Nets,Lưới 90,vi
90口径绳网,Lưới 90,vi
A Magic Roll,Xúc Xắc Ma Pháp,vi
Aatrox,Aatrox,vi
Acceleration Gate,Cổng Tăng Tốc,vi
Adaptive Helm,Mũ Thích Nghi,vi
Advanced Loan,Vay Tạm Ứng,vi
Aegis of Dawn,Khiên Hừng Đông,vi
Aegis of Dusk,Khiên Hoàng Hôn,vi
Ahri,Ahri,vi
Air Axiom,Nguyên Tố Khí,vi
Ambessa,Ambessa,vi
Anivia,Anivia,vi
Annie,Annie,vi
Aphelios,Aphelios,vi
Arcane Viktor-y,Arcane Viktor-y,vi
Arcane ビクタリー,Arcane Viktor-y,vi
Arcanist,Pháp Sư,vi
Arcanist Emblem,Ấn Pháp Sư,vi
Archangel's Staff,Quyền Trượng Thiên Thần,vi
Armor Nullifier,Phá Giáp,vi
Artillery Barrage,Pháo Kích Tầm Xa,vi
Ascendant,Thăng Hoa,vi
Ascension,Thăng Hoa,vi
Ashe,Ashe,vi
Assimilator,Cộng Sinh,vi
Aurelion Sol,Aurelion Sol,vi
Azir,Azir,vi
B.F. Sword,Kiếm B.F.,vi
B.F.ソード,Kiếm B.F.,vi
Band of Thieves,Băng Trộm,vi
Bard,Bard,vi
Barknuckles,Găng Dã Thú,vi
Baron Nashor,Baron Nashor,vi
Bel'Veth,Bel'Veth,vi
Belt Overflow,Đam Mê Đai Lưng,vi
Best Friends,Bạn Thân,vi
Big Friend,Dựa Hơi,vi
Big Grab Bag,Túi Đồ Cỡ Đại,vi
Bilgewater,Bilgewater,vi
Bilgewater Emblem,Ấn Bilgewater,vi
Bilgewater Lesser Champion Duplicator,Máy Sao Chép Tướng Cỡ Nhỏ Bilgewater,vi
Binary Airdrop,Trang Bị Đầy Đủ,vi
Birthday Present,Quà Sinh Nhật,vi
