source,target,tgt_lng
2のトリック,两把刷子,zh-CN
3 Threes,三，三，三！,zh-CN
3×3,三，三，三！,zh-CN
3の軍団,三幻神,zh-CN
90 Caliber Nets,90口径绳网,zh-CN
A Magic Roll,魔法投掷,zh-CN
Aatrox,亚托克斯,zh-CN
Acceleration Gate,加速之门,zh-CN
Adaptive Helm,适应性头盔,zh-CN
Advanced Loan,高级贷款,zh-CN
Aegis of Dawn,黎明圣盾,zh-CN
Aegis of Dusk,黄昏圣盾,zh-CN
Ahri,阿狸,zh-CN
Air Axiom,气旋公理,zh-CN
Ambessa,安蓓萨,zh-CN
Anivia,艾尼维亚,zh-CN
Annie,安妮,zh-CN
Aphelios,厄斐琉斯,zh-CN
Arcane Viktor-y,双城赢家,zh-CN
Arcane ビクタリー,双城赢家,zh-CN
Arcanist,法师,zh-CN
Arcanist Emblem,法师纹章,zh-CN
Archangel's Staff,大天使之杖,zh-CN
Armor Nullifier,护甲消除器,zh-CN
Artillery Barrage,大炮火力网,zh-CN
Ascendant,远古巫灵,zh-CN
Ascension,飞升,zh-CN
Ashe,艾希,zh-CN
Assimilator,虚空之女,zh-CN
Aurelion Sol,奥瑞利安·索尔,zh-CN
Azir,阿兹尔,zh-CN
B.F. Sword,暴风之剑,zh-CN
B.F.ソード,暴风之剑,zh-CN
Band of Thieves,窃贼帮派,zh-CN
Bandle Bounty,班德尔奖金,zh-CN
Bard,巴德,zh-CN
Barknuckles,酒吧指虎,zh-CN
Baron Nashor,纳什男爵,zh-CN
Bel'Veth,卑尔维斯,zh-CN
Belt Overflow,腰带溢流,zh-CN
Best Friends,最佳好友,zh-CN
Big Friend,大哥罩我,zh-CN
Big Grab Bag,大百宝袋,zh-CN
Bilgewater,比尔吉沃特,zh-CN
Bilgewater Emblem,比尔吉沃特纹章,zh-CN
Bilgewater Lesser Champion Duplicator,比尔吉沃特 次级英雄复制器,zh-CN
Binary Airdrop,二进制空投,zh-CN
Birthday Present,生日礼物,zh-CN
Birthday Reunion,生日聚会,zh-CN
Black Market Restock,黑市补货,zh-CN
Blackmarket Explosives,黑市炸药,zh-CN
Blacksmith,山隐之焰,zh-CN
Blast Shield,爆裂护盾,zh-CN
Blighting Jewel,枯萎珠宝,zh-CN
Blitzcrank,布里茨,zh-CN
Blood Offering,鲜血祭品,zh-CN
Bloodthirster,饮血剑,zh-CN
Blue Buff,蓝霸符,zh-CN
Bodyguard Training,利落保镖,zh-CN
Boxing Lessons,拳击课程,zh-CN
Bramble Vest,棘刺背心,zh-CN
Branching Out,节外生枝,zh-CN
Braum,布隆,zh-CN
Briar,贝蕾亚,zh-CN
Brigand's Dice,强盗的骰子,zh-CN
Bringer of Ruin,破灭使者,zh-CN
Brock,岩宝,zh-CN
Bronze For Life,终身黄铜,zh-CN
Bruiser,斗士,zh-CN
Bruiser Emblem,斗士纹章,zh-CN
Buried Treasures,珍藏财宝,zh-CN
Caitlyn,凯特琳,zh-CN
Cappa Juice,帽子饮品,zh-CN
Captain's Brew,船长的酿造品,zh-CN
Captain's Hat,船长的帽子,zh-CN
Care Package,关爱包裹,zh-CN
Caretaker,星界游神,zh-CN
Caretaker's Ally,游神的盟友,zh-CN
Celestial Blessing,星界赐福,zh-CN
Chain Vest,锁子甲,zh-CN
Chainbreaker,解脱者,zh-CN
Chalice of Power,能量圣杯,zh-CN
Chaotic Evolution,无序进化,zh-CN
Cho'Gath,科加斯,zh-CN
Chosen Wolves,与狼共舞,zh-CN
Chronokeeper,时光守护者,zh-CN
Commerce Core,贸易中心,zh-CN
Component Buffet,基础装备自助餐,zh-CN
Construct a Companion,挑个好伙计！,zh-CN
Continuum Cogs,连续齿轮,zh-CN
Cooking Pot,金色炊具,zh-CN
Coronation,加冕礼,zh-CN
Corrosion,腐蚀,zh-CN
Corrupt Vampiric Scepter,黑暗吸血鬼节杖,zh-CN
Cosmic Calling,星界感召,zh-CN
Crafted Crafting,精心打造,zh-CN
Crash Test Dummies,碰撞测试假人,zh-CN
Crown's Will,王冠意志,zh-CN
Crownguard,冕卫,zh-CN
Cry Me A River,泪流成河,zh-CN
Cursed Blade,诅咒之刃,zh-CN
Cutthroat's Cutlass,残酷弯刀,zh-CN
Darius,德莱厄斯,zh-CN
Dark Child,黑暗之女,zh-CN
Darkin,暗裔,zh-CN
Darkwill's Invasion,达克威尔入侵,zh-CN
Dawncore,黎明核心,zh-CN
Dead Man's Dagger,亡者的短剑,zh-CN
Deadlier Blades,更要命的战刃,zh-CN
Deadlier Caps,更要命的帽子,zh-CN
Deathblade,死亡之刃,zh-CN
Defender,护卫,zh-CN
Defender Emblem,护卫纹章,zh-CN
Defense of the Placidium,普雷西典保卫战,zh-CN
Demacia,德玛西亚,zh-CN
Demacia Emblem,德玛西亚纹章,zh-CN
Demacia Forever,德玛西亚万岁,zh-CN
Diana,黛安娜,zh-CN
Disruptor,耀光使,zh-CN
Disruptor Emblem,耀光使纹章,zh-CN
Double Trouble,好事成双,zh-CN
Dr. Mundo,蒙多医生,zh-CN
Dragon's Claw,巨龙之爪,zh-CN
Dragonborn,龙血武姬,zh-CN
Dragonguards,巨龙卫士,zh-CN
Draven,德莱文,zh-CN
Dreadway Cannon,震畏大炮,zh-CN
Dummify,假人化,zh-CN
Duo Queue,双排,zh-CN
E.M.P.,电磁脉冲,zh-CN
Earth Axiom,岩土公理,zh-CN
Echo Engine,回声引擎,zh-CN
Edge of Night,夜之锋刃,zh-CN
Ekko,艾克,zh-CN
Elder Dragon,远古巨龙,zh-CN
Electrical Overload,电流过载,zh-CN
Emperor,沙漠皇帝,zh-CN
Epic Rolldown,8级D干的传说,zh-CN
Eternal,永猎双子,zh-CN
Eternal Pact,永恒契约,zh-CN
Evenshroud,薄暮法袍,zh-CN
Exclusive Customization,专属定制,zh-CN
Exiles,浪人,zh-CN
Expected Unexpectedness,意料之中的意外,zh-CN
Explosive Growth,爆炸式增长,zh-CN
Eye For An Eye,以眼还眼,zh-CN
Feed the Flames,火上浇油,zh-CN
Fiddlesticks,费德提克,zh-CN
Find Your Center,C位的觉悟,zh-CN
Fire Axiom,炽焰公理,zh-CN
First Mate's Flintlock,大副的燧发枪,zh-CN
First One's Free!,第一份免费！,zh-CN
Fishbones,鱼骨头,zh-CN
Fizz,菲兹,zh-CN
Flickerblades,烁刃,zh-CN
Focused Fire,集中火力,zh-CN
Forbidden Idol,禁忌雕像,zh-CN
Freljord,弗雷尔卓德,zh-CN
Freljord Emblem,弗雷尔卓德纹章,zh-CN
Frying Pan,金锅锅,zh-CN
Galio,加里奥,zh-CN
Gangplank,普朗克,zh-CN
Garen,盖伦,zh-CN
Gargoyle Stoneplate,石像鬼石板甲,zh-CN
